date,article_count,daily_fear,daily_greed,daily_uncertainty,daily_optimism,fear_std,greed_std,uncertainty_std,optimism_std,fnei_simple,fnei_weighted,fnei_ratio,fnei_raw,fnei,fnei_category,NIFTY50,SENSEX,NIFTY50_return,NIFTY50_prev_return,NIFTY50_volatility,NIFTY50_direction,SENSEX_return,SENSEX_prev_return,SENSEX_volatility,SENSEX_direction,NIFTY50_next_day_return,INDIA_VIX,VIX_change,VIX_pct_change
2018-01-19,1,0.065625,0.0,1.0,0.0,,,,,23.359375,18.6875,0.0,18.6875,39.10804821428571,Fear,10894.7001953125,35511.578125,0.0071574797298409,0.0026336022006909,0.0551030117957297,1,0.0071014127090061,0.0050743184852016,0.0536532917141194,1,0.0065413824387291,14.060465514546905,0.4685500319261404,0.034472700520044475
2018-01-22,1,0.06825,1.0,0.045500000000000006,0.0,,,,,72.15625,62.9525,89.78675645342312,62.9525,47.46801071428571,Neutral,10966.2001953125,35798.01171875,0.0065413824387291,0.0071574797298409,0.0547377194735415,1,0.0080335656078735,0.0071014127090061,0.0549374497097181,1,0.0106577453981743,16.349196888872203,2.288731374325298,0.16277778086062544
2018-01-23,1,0.0641625,0.048810000000000006,1.0,0.073215,,,,,26.446562500000002,22.743575000000003,10.287159492070185,22.743575000000003,39.96996428571429,Fear,11083.7001953125,36139.98046875,0.0106577453981743,0.0065413824387291,0.0603619582315054,1,0.0095073914489699,0.0080335656078735,0.0577001629924029,1,0.000207472782716,16.010533582481692,-0.33866330639051156,-0.020714369561542045
2018-01-25,1,1.0,0.0,0.15045,0.0,,,,,21.23875,12.74325,0.0,12.74325,41.79042857142857,Neutral,11069.650390625,36050.44140625,-0.001475886471805,0.000207472782716,0.0616509122931406,0,-0.0030797978265468,0.0005991610304257,0.0616969693316877,-1,0.0054729741150458,16.349043078271638,-2.29957102620984,-0.12331055880754305
2018-01-29,1,1.0,0.0,0.105065,0.0,,,,,22.373375,13.424025,0.0,13.424025,42.026003571428575,Neutral,11130.400390625,36283.25,0.0054729741150458,-0.001475886471805,0.0602955064788885,1,0.0064370943364011,-0.0030797978265468,0.0608672824457571,1,-0.0072813500350772,15.204943245218267,-1.144099833053371,-0.06997962067724406
2018-01-31,1,0.134415,0.0,1.0,0.0,,,,,21.639625000000002,17.3117,0.0,17.3117,42.72000714285714,Neutral,11027.7001953125,35965.01953125,-0.0019884815852113,-0.0072813500350772,0.0709674106304307,0,-0.0019086708688591,-0.0069007450204471,0.0706628633521638,0,-0.0009798141281276,18.64518846207,-3.3489574141927783,-0.152265854424797
2018-02-01,1,0.0,0.08198,0.0,1.0,,,,,77.0495,72.4594,100.0,72.4594,44.07813571428572,Neutral,11016.900390625,35906.66015625,-0.0009798141281276,-0.0019884815852113,0.0703527333128632,0,-0.0016239884215831,-0.0019086708688591,0.0717223931290398,0,-0.0235392139330768,19.17032974066217,0.5251412785921694,0.028164975626846944
2018-02-06,1,1.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,37.34370178571429,Fear,10498.25,34195.94140625,-0.0159040816546759,-0.0087786206983058,0.1304747533871706,-1,-0.0162786337531979,-0.0088677896107639,0.1341106810243671,-1,-0.0020548141539544,25.269320518136794,2.5055496418179892,0.11006742491967869
2018-02-07,1,0.06825,1.0,0.045500000000000006,0.0,,,,,72.15625,62.9525,89.78675645342312,62.9525,36.14772321428571,Fear,10476.7001953125,34082.7109375,-0.0020548141539544,-0.0159040816546759,0.1284892039805051,-1,-0.0033167196089475,-0.0162786337531979,0.1329014736202631,-1,0.0095138511458138,22.546933243205906,-2.722387274930888,-0.10773488242301266
2018-02-09,1,0.0,1.0,0.0,1.0,,,,,100.0,100.0,100.0,100.0,48.51571964285715,Neutral,10454.9501953125,34005.76171875,-0.0115920444485001,0.0095138511458138,0.138806475351845,-1,-0.0119090813273723,0.0096488088169714,0.1431033390135609,-1,0.0080782545170889,24.67937015534689,-1.3862871591118342,-0.053184431237913055
2018-02-16,1,0.1012725,0.0,0.272965,0.0,,,,,40.6440625,28.880075000000005,0.0,28.880075000000005,46.496689915966385,Neutral,10452.2998046875,34010.76171875,-0.0088771974425149,0.0042382236684079,0.1435101835038068,-1,-0.0083945583990214,0.0041347747730283,0.1472927541217732,-1,-0.0070952702880844,26.324023900904812,-3.4922847065874727,-0.11712666220894719
2018-02-19,1,0.06825,1.0,0.045500000000000006,0.0,,,,,72.15625,62.9525,89.78675645342312,62.9525,55.489904201680666,Neutral,10378.400390625,33774.66015625,-0.0070952702880844,-0.0088771974425149,0.1407528072850059,-1,-0.0069661738690964,-0.0083945583990214,0.1440040223220146,-1,-0.0017358770846747,23.95985887058879,-2.3641650303160233,-0.08981016881065673
2018-02-20,1,0.134415,0.0,1.0,0.0,,,,,21.639625000000002,17.3117,0.0,17.3117,48.96978991596638,Neutral,10360.400390625,33703.58984375,-0.0017358770846747,-0.0070952702880844,0.1398114686977185,0,-0.0021064665660249,-0.0069661738690964,0.1418114618429809,-1,0.003569718731482,27.62623669397823,3.666377823389439,0.15302167859970117
2018-02-22,1,1.0,0.9903846153846154,1.0,0.0,,,,,24.759615384615387,29.71153846153846,33.11897106109325,29.71153846153846,38.9285811247576,Fear,10382.7001953125,33819.5,-0.0014196242279203,0.003569718731482,0.1336818707292035,0,-0.0007495637709889,0.004182767742249,0.1348080508968738,0,0.010381515779008,25.785914262929865,2.4911856639040124,0.10694203425955306
2018-02-28,1,0.065625,0.0,1.0,0.0,,,,,23.359375,18.6875,0.0,18.6875,41.57304183904331,Neutral,10492.849609375,34184.0390625,-0.005839305714195,-0.002677764703635,0.1362699798794047,-1,-0.0047380956741945,-0.0028886859222392,0.1367773305244236,-1,-0.0032933705438877,27.10393114793129,0.8389316615630342,0.03194104998930025
2023-12-15,1,0.0,0.0,0.0,0.0,,,,,50.0,35.0,0.0,35.0,38.25331620879121,Fear,21456.650390625,71483.75,0.0128498649215015,0.0121756621637251,0.0951551770029531,1,0.0136559988490467,0.0132708513486156,0.0998617037967859,1,-0.0017725827811074,19.12375157622494,-3.07193288155554,-0.13840225956531405
2024-04-23,13,0.19018384615384615,0.29320115384615386,0.06607961538461539,0.25978346153846155,0.3698815883391706,0.4164704304987422,0.12817352457478526,0.3443820642598773,57.418028846153845,48.093584615384614,68.33313926270588,48.093584615384614,40.99810329670329,Neutral,22368.0,73738.453125,0.0014137138340638,0.0085156050796275,0.095783436130731,0,0.0012190478911723,0.0076366832396442,0.0978488468091813,0,0.0015367473640989,19.822378439559976,-2.2164540380273117,-0.1005703927502225
2024-08-26,1,0.0,0.0,0.0,0.0,,,,,50.0,35.0,0.0,35.0,37.00488901098901,Fear,25010.599609375,81698.109375,0.0075230181481054,0.0004694458708691,0.1562316457121275,1,0.0075179392994882,0.000407346249892,0.1537496385567653,1,0.0002858535502177,25.712919412514044,-0.9359815235901046,-0.03512270640482695
2024-09-02,1,0.0,0.0,0.0,0.0,,,,,50.0,35.0,0.0,35.0,39.53178901098901,Fear,25278.69921875,82559.84375,0.0016945136137639,0.0033322021164079,0.1449741075034096,0,0.0023534294475672,0.0028105006287499,0.1442815139441139,1,4.550726442364936e-05,29.32185186117182,2.766796928911983,0.10419096989141607
2025-04-22,1,0.0,0.0,0.0,0.0,,,,,50.0,35.0,0.0,35.0,40.28728351648351,Neutral,24167.25,79595.59375,0.0017269335569158,0.0114180635667531,0.2109013460113441,0,0.0023533209986377,0.0108292733830669,0.2043266495282547,1,0.0066685563231763,35.242148878331605,3.366987388319874,0.1056304417273286
